episode,score,average score,best score
689,171.1,117.2,316.5
690,229.5,119.5,316.5
691,202.1,121.4,316.5
692,38.9,121.8,316.5
693,34.4,122.1,316.5
694,111.6,123.2,316.5
695,82.7,123.3,316.5
696,154.6,123.7,316.5
697,35.7,124.0,316.5
698,150.0,120.5,316.5
699,160.4,122.1,316.5
700,83.0,122.9,316.5
701,111.6,122.5,316.5
702,111.1,123.6,316.5
703,100.3,124.6,316.5
704,38.2,125.0,316.5
705,59.1,125.5,316.5
706,211.2,127.6,316.5
707,189.6,129.5,316.5
708,191.4,131.4,316.5
709,153.8,132.9,316.5
710,92.8,133.8,316.5
711,934.5,143.1,316.5
712,136.9,144.4,316.5
713,123.9,145.6,316.5
714,1601.4,161.6,316.5
715,200.0,163.5,316.5
716,141.0,164.9,316.5
717,101.0,165.9,316.5
718,85.6,166.7,316.5
719,62.7,167.3,316.5
720,76.4,168.0,316.5
721,546.8,171.9,316.5
722,83.1,161.3,316.5
723,95.2,162.2,316.5
724,127.0,163.4,316.5
725,89.6,163.5,316.5
726,122.5,164.7,316.5
727,122.2,165.0,316.5
728,28.2,165.3,316.5
729,88.7,166.1,316.5
730,30.4,166.4,316.5
731,116.5,167.5,316.5
732,108.7,168.6,316.5
733,109.5,169.6,316.5
734,137.4,170.9,316.5
735,164.6,172.5,316.5
736,102.6,173.5,316.5
737,96.7,174.4,316.5
738,74.3,175.1,316.5
739,5.7,175.2,316.5
740,95.8,176.1,316.5
741,105.8,161.8,316.5
742,6.2,161.8,316.5
743,100.1,162.2,316.5
744,115.5,159.9,316.5
745,130.1,160.9,316.5
746,138.9,162.3,316.5
747,9.0,162.1,316.5
748,173.8,163.8,316.5
749,123.8,164.2,316.5
750,132.2,164.9,316.5
751,85.8,165.4,316.5
752,270.4,167.8,316.5
753,221.0,169.6,316.5
754,99.1,169.4,316.5
755,130.6,170.1,316.5
756,707.5,173.8,316.5
757,129.2,175.1,316.5
758,112.1,176.2,316.5
759,5.1,165.8,316.5
760,653.7,172.3,316.5
761,119.4,173.4,316.5
762,123.4,174.6,316.5
763,133.4,175.8,316.5
764,161.0,177.3,316.5
765,71.8,178.0,316.5
766,5.8,178.0,316.5
767,61.3,178.4,316.5
768,338.8,181.0,316.5
769,111.7,181.1,316.5
770,109.8,182.1,316.5
771,85.6,182.5,316.5
772,116.0,183.3,316.5
773,83.6,183.8,316.5
774,168.9,185.2,316.5
775,68.6,184.9,316.5
776,63.0,181.5,316.5
777,81.9,182.1,316.5
778,19.8,181.6,316.5
779,82.1,180.7,316.5
780,80.8,180.5,316.5
781,87.3,181.1,316.5
782,109.1,181.9,316.5
783,111.4,167.4,316.5
784,88.0,168.0,316.5
785,83.1,163.9,316.5
786,103.8,162.3,316.5
787,104.2,161.0,316.5
788,145.7,148.9,316.5
789,166.3,148.9,316.5
790,94.8,147.5,316.5
791,118.4,146.7,316.5
792,137.8,147.7,316.5
793,67.4,148.0,316.5
794,66.2,147.5,316.5
795,35.3,147.1,316.5
796,58.8,146.1,316.5
797,180.5,147.6,316.5
798,87.4,146.9,316.5
799,61.6,145.9,316.5
800,58.4,145.7,316.5
801,65.2,145.2,316.5
802,74.1,144.9,316.5
803,56.1,144.4,316.5
804,60.3,144.6,316.5
805,53.4,144.6,316.5
806,70.1,143.2,316.5
807,69.4,142.0,316.5
808,58.0,140.6,316.5
809,54.6,139.6,316.5
810,58.2,139.3,316.5
811,37.0,130.3,316.5
812,55.6,129.5,316.5
813,54.0,128.8,316.5
814,62.8,113.4,316.5
815,83.2,112.3,316.5
816,61.9,111.5,316.5
817,61.6,111.1,316.5
818,59.5,110.8,316.5
819,306.6,113.3,316.5
820,57.9,113.1,316.5
821,64.2,108.2,316.5
822,105.0,108.5,316.5
823,69.3,108.2,316.5
